review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Tempatnya terkelola dengan bagus, makanannya enak dan murah. Cocok buat tempat nongkrong di sore hari apalagi orang yang suka sunset spot terbaik untuk lihat sunset. Orang - orangnya juga ramah dan baik.",tempatnya terkelola bagus makanannya murah cocok nongkrong sore suka sunset spot terbaik sunset orangnya ramah,tempat kelola bagus makan murah cocok nongkrong sore suka sunset spot baik sunset orang ramah,"Tempatnya terkelola dengan bagus, makanannya enak dan murah. Cocok buat tempat nongkrong di sore hari apalagi orang yang suka sunset spot terbaik untuk lihat sunset. Orang - orangnya juga ramah dan baik.",5,Mii Mine,2026-03-29T05:42:12.441Z,Desa Wisata Budo,Sulawesi Utara
Apa di sini selain bili makanan yg di jual boleh mo bawah makanan dari luar.? 🙏🏻,bili makanan jual makanan,bili makan jual makan,Apa di sini selain bili makanan yg di jual boleh mo bawah makanan dari luar.? 🙏🏻,5,Revangga Nalang,2026-03-25T08:07:42.203Z,Desa Wisata Budo,Sulawesi Utara
Bgs,bagus,bagus,Bgs,5,Mr Armenia,2025-12-04T06:50:29.914Z,Desa Wisata Budo,Sulawesi Utara
desa begitu indah untuk di kunjungi dan lihat keindahannya yang begitu luar biasa.,desa indah kunjungi keindahannya,desa indah kunjung indah,desa begitu indah untuk di kunjungi dan lihat keindahannya yang begitu luar biasa.,5,Jenika Metusala,2025-09-30T11:51:12.871Z,Desa Wisata Budo,Sulawesi Utara
Ngoni yakin mau melewatkan sunset seindah ini?,ngoni melewatkan sunset seindah,ngoni lewat sunset indah,Ngoni yakin mau melewatkan sunset seindah ini?,5,Surya Wicaksana (surgum),2025-09-28T13:48:21.966Z,Desa Wisata Budo,Sulawesi Utara
"Desa wisata yg beneran wisata.... Semoga selalu terjaga nilai2 wisatanya.

Masukan : utk parkir agar disediakan informasi yg lebih jelas: lokasi dan tarif",desa wisata benaran wisata semoga terjaga nilai wisatanya masukan parkir disediakan informasi lokasi tarif,desa wisata benar wisata moga jaga nilai wisata masuk parkir sedia informasi lokasi tarif,"Desa wisata yg beneran wisata.... Semoga selalu terjaga nilai2 wisatanya.

Masukan : utk parkir agar disediakan informasi yg lebih jelas: lokasi dan tarif",5,himawan d' mbambesh,2025-09-27T14:02:15.432Z,Desa Wisata Budo,Sulawesi Utara
Tempat yg bagus bersantai bareng keluarga,bagus bersantai bareng keluarga,bagus santa bareng keluarga,Tempat yg bagus bersantai bareng keluarga,5,paul siwy,2025-08-18T00:07:28.515Z,Desa Wisata Budo,Sulawesi Utara
"Bagus tempatnya, dan juga trjangkau harga kamarnya untuk menginap.",bagus tempatnya trjangkau harga kamarnya menginap,bagus tempat trjangkau harga kamar inap,"Bagus tempatnya, dan juga trjangkau harga kamarnya untuk menginap.",3,N A D 112,2025-07-27T08:19:47.232Z,Desa Wisata Budo,Sulawesi Utara
Kopinya Enak,kopinya,kopi,Kopinya Enak,5,Angelidia 17,2025-07-13T02:00:14.601Z,Desa Wisata Budo,Sulawesi Utara
"Tempat yg cocok untuk penikmat senja, tiket masuk 10K per orang. Tersedia aneka makanan dan Minuman.",cocok penikmat senja tiket kak tersedia aneka makanan minuman,cocok nikmat senja tiket kak sedia aneka makan minum,"Tempat yg cocok untuk penikmat senja, tiket masuk 10K per orang. Tersedia aneka makanan dan Minuman.",5,Yussa Rochman,2025-06-08T13:53:08.740Z,Desa Wisata Budo,Sulawesi Utara
"vibes di sana pas di jembatan kayak di villa"" pokoknya baguss i like it👍🏻",vibes pas jembatan kayak villa pokoknya bagus like,vibes pas jembatan kayak villa pokok bagus like,"vibes di sana pas di jembatan kayak di villa"" pokoknya baguss i like it👍🏻",4,Iman L,2025-05-27T17:28:49.267Z,Desa Wisata Budo,Sulawesi Utara
Beatifull...,beatifull,beatifull,Beatifull...,5,Gladdy Tuwo,2025-04-07T09:48:11.712Z,Desa Wisata Budo,Sulawesi Utara
Tempat yang menarik. Tiket masuk murah,menarik tiket murah,tarik tiket murah,Tempat yang menarik. Tiket masuk murah,5,Frisky Tandaju,2025-04-03T00:39:04.657Z,Desa Wisata Budo,Sulawesi Utara
Best,best,best,Best,5,Preter Preter (UG),2025-04-02T03:34:39.363Z,Desa Wisata Budo,Sulawesi Utara
tempatnya bagus cuma nunggu makannya hampir sejam,tempatnya bagus menunggu makannya sejam,tempat bagus tunggu makan jam,tempatnya bagus cuma nunggu makannya hampir sejam,3,credo Jhoselino,2025-01-12T10:41:21.319Z,Desa Wisata Budo,Sulawesi Utara
