review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Disini saya ikut Shooting Film bareng masyarakat di Gampong Nusa, mereka ramah-ramah sekali, kalau di ajak shooting juga pada happy semua. Terimakasih Warga Gampong Nusa",shooting film bareng masyarakat gampong nusa ramah ramah ajak shooting happy terimakasih warga gampong nusa,shooting film bareng masyarakat gampong nusa ramah ramah ajak shooting happy terimakasih warga gampong nusa,"Disini saya ikut Shooting Film bareng masyarakat di Gampong Nusa, mereka ramah-ramah sekali, kalau di ajak shooting juga pada happy semua. Terimakasih Warga Gampong Nusa",5,Awien syuib,2025-06-30T06:01:40.501Z,Gampong Nusa,Aceh
Gampong nusa kecamatan Lhoknga,gampong nusa kecamatan lhoknga,gampong nusa camat lhoknga,Gampong nusa kecamatan Lhoknga,5,Cut Sukma Amelia,2025-02-09T06:43:59.644Z,Gampong Nusa,Aceh
"tempat bersih di perkampungan dengan view sawah dan gunung,cocok untuk bersantai dengan keluarga",bersih perkampungan view sawah gunung cocok bersantai keluarga,bersih kampung view sawah gunung cocok santa keluarga,"tempat bersih di perkampungan dengan view sawah dan gunung,cocok untuk bersantai dengan keluarga",5,teja,2025-01-01T00:55:36.234Z,Gampong Nusa,Aceh
Nusa Indah...,nusa indah,nusa indah,Nusa Indah...,5,Zulfitra Aceh,2024-09-05T16:04:19.025Z,Gampong Nusa,Aceh
Ok lah,ok,ok,Ok lah,4,Azizah Aja,2024-07-12T04:52:03.863Z,Gampong Nusa,Aceh
Viewnya akan more amazing kalau datang kesini lagi musim padi di sawah 🍃,viewnya more amazing kesini musim padi sawah,viewnya more amazing kesini musim padi sawah,Viewnya akan more amazing kalau datang kesini lagi musim padi di sawah 🍃,5,Nurul Mawari,2024-07-11T15:00:57.824Z,Gampong Nusa,Aceh
"Desa nya sangat indah, pemandangan nya luar biasa. Serta masyarakat nya ramah2 sama pengunjung. Thx desa nusa",desa indah pemandangan masyarakat ramah pengunjung thx desa nusa,desa indah pandang masyarakat ramah unjung thx desa nusa,"Desa nya sangat indah, pemandangan nya luar biasa. Serta masyarakat nya ramah2 sama pengunjung. Thx desa nusa",5,Hanafi Akbar,2024-05-18T04:33:21.864Z,Gampong Nusa,Aceh
Ini tempat yang cocok untuk berimajinasi dan bagus untuk berlibur,cocok berimajinasi bagus berlibur,cocok imajinasi bagus libur,Ini tempat yang cocok untuk berimajinasi dan bagus untuk berlibur,3,Muslim Lemari,2024-04-10T08:28:14.269Z,Gampong Nusa,Aceh
"Cocok bagi yg ingin wisata tradisional, ada home stay, murah, tdk jauh dari kota",cocok wisata tradisional home stay murah kota,cocok wisata tradisional home stay murah kota,"Cocok bagi yg ingin wisata tradisional, ada home stay, murah, tdk jauh dari kota",5,Miji Karya,2024-03-13T14:47:18.155Z,Gampong Nusa,Aceh
"Tempatnya adem, damai dan bersih",tempatnya adem damai bersih,tempat adem damai bersih,"Tempatnya adem, damai dan bersih",5,Tukang Logam,2024-02-14T06:06:09.882Z,Gampong Nusa,Aceh
"Desa yang indah dengan pemandangan alam pegunungan hijau tinggi menjulang, areal persawahan hijau, sungai yg mengalir dan masyarakat yang ramah. Anda bisa mengadakan family gatering dengan berkemah, bermain disungai, berfoto di spot spot indah yg baanyak ada didesa Nusa. Anda juga bisa menginap di home stay yg ada disediakan didesa ini yg dikelola oleh kelompok masyarakat desa Nusa. Selamat menikmati liburan ataau petualangan didesa ini...",desa indah pemandangan alam pegunungan hijau tinggi menjulang areal persawahan hijau sungai mengalir masyarakat ramah mengadakan family gatering berkemah bermain disungai berfoto spot spot indah baanyak didesa nusa menginap home stay disediakan didesa dikelola kelompok masyarakat desa nusa selamat menikmati liburan ataau petualangan didesa,desa indah pandang alam gunung hijau tinggi julang areal sawah hijau sungai alir masyarakat ramah ada family gatering kemah main sungai foto spot spot indah baanyak desa nusa inap home stay sedia desa kelola kelompok masyarakat desa nusa selamat nikmat libur ataau tualang desa,"Desa yang indah dengan pemandangan alam pegunungan hijau tinggi menjulang, areal persawahan hijau, sungai yg mengalir dan masyarakat yang ramah. Anda bisa mengadakan family gatering dengan berkemah, bermain disungai, berfoto di spot spot indah yg baanyak ada didesa Nusa. Anda juga bisa menginap di home stay yg ada disediakan didesa ini yg dikelola oleh kelompok masyarakat desa Nusa. Selamat menikmati liburan ataau petualangan didesa ini...",5,muhammad mustika,2024-02-02T16:01:41.613Z,Gampong Nusa,Aceh
Kampung wisata Nusa,kampung wisata nusa,kampung wisata nusa,Kampung wisata Nusa,4,Panji Wijaya,2024-01-07T03:09:00.599Z,Gampong Nusa,Aceh
Destinasi utk mengenang kedahsyatan tsunami 26 desember 2004 yang melanda Aceh dan beberapa negara lain menelan korban ratusan ribu orang.,destinasi mengenang kedahsyatan tsunami desember melanda aceh negara menelan korban ratusan ribu,destinasi kenang dahsyat tsunami desember landa aceh negara tel korban ratus ribu,Destinasi utk mengenang kedahsyatan tsunami 26 desember 2004 yang melanda Aceh dan beberapa negara lain menelan korban ratusan ribu orang.,5,Erlan BAKO ALAFAN,2023-09-19T22:56:30.637Z,Gampong Nusa,Aceh
Best,best,best,Best,5,Rizky J. Pratama,2023-08-22T12:10:32.445Z,Gampong Nusa,Aceh
"Saya bangga melihat keindahan alam Gampong Nusa, Lhoknga,Aceh Besar, tempatnya begitu indah dan selalu terawat dengan rapi..saya selalu terkesan Gampong Nusa yang merupakan tempat ayahku dan Abangnya yg pernah menetap hingga kami sampai sa'at ini terjalin silaturahmi yang kuat dengan keluarga tempat ayahku tinggal",bangga keindahan alam gampong nusa lhoknga aceh tempatnya indah terawat rapi terkesan gampong nusa ayahku abangnya menetap sa at terjalin silaturahmi kuat keluarga ayahku tinggal,bangga indah alam gampong nusa lhoknga aceh tempat indah awat rapi kes gampong nusa ayah abang tetap sa at jalin silaturahmi kuat keluarga ayah tinggal,"Saya bangga melihat keindahan alam Gampong Nusa, Lhoknga,Aceh Besar, tempatnya begitu indah dan selalu terawat dengan rapi..saya selalu terkesan Gampong Nusa yang merupakan tempat ayahku dan Abangnya yg pernah menetap hingga kami sampai sa'at ini terjalin silaturahmi yang kuat dengan keluarga tempat ayahku tinggal",5,M.Q.A Channel,2023-07-15T01:16:34.639Z,Gampong Nusa,Aceh
"Bagus, pengelola juga ramah... Aceh keren..👍",bagus pengelola ramah aceh keren,bagus kelola ramah aceh keren,"Bagus, pengelola juga ramah... Aceh keren..👍",5,Erdian JK,2022-06-09T11:19:04.733Z,Gampong Nusa,Aceh
Great village life,great village life,great village life,Great village life,5,irwan mahdi (Irwan),2022-06-08T07:43:59.743Z,Gampong Nusa,Aceh
Alam nya indah,alam indah,alam indah,Alam nya indah,2,Mazizah Husien,2022-03-23T06:53:39.025Z,Gampong Nusa,Aceh
"Kampung hijau, bersih, udara sejuk dan bagus untuk berita keluarga.",kampung hijau bersih udara sejuk bagus berita keluarga,kampung hijau bersih udara sejuk bagus berita keluarga,"Kampung hijau, bersih, udara sejuk dan bagus untuk berita keluarga.",5,poe2n mumanda,2022-02-12T07:14:21.900Z,Gampong Nusa,Aceh
Amazing,amazing,amazing,Amazing,5,El Fahmi,2022-02-05T06:57:35.539Z,Gampong Nusa,Aceh
