review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Sudah tutup permanen,tutup permanen,tutup permanen,Sudah tutup permanen,1,MUHAMMAD NOOR AQLI,2026-04-30T10:02:18.220Z,Kampung Ketupat,Kalimantan Selatan
Perlu ditata lagi agar menjadi daya tarik wisatawan,ditata daya tarik wisatawan,tata daya tarik wisatawan,Perlu ditata lagi agar menjadi daya tarik wisatawan,5,Efrin Riyadi,2025-12-09T11:20:06.277Z,Kampung Ketupat,Kalimantan Selatan
"Kira-kira karena harga masuk ke area bayar dan lumanyan mahal, jadinya sepi ini tempat. Padahal tempat wisata untuk rakyat (tapi bayar) 🤔
Semoga saja Pemerintah Daerah bisa benar-benar bisa diperbaiki dibagian mananya ini !! gar kiranya tempat wisata rakyat bisa ramaipberkunjung dan rakyat benar-benar puas dengan tempat tersebut. Merdeka Banjarmasin Bungas 💪🫡🇮🇩",harga area bayar lumanyan mahal sepi wisata rakyat bayar semoga pemerintah daerah diperbaiki dibagian mananya gar wisata rakyat ramaipberkunjung rakyat puas merdeka banjarmasin bungas,harga area bayar lumanyan mahal sepi wisata rakyat bayar moga perintah daerah baik bagi mana gar wisata rakyat ramaipberkunjung rakyat puas merdeka banjarmasin bungas,"Kira-kira karena harga masuk ke area bayar dan lumanyan mahal, jadinya sepi ini tempat. Padahal tempat wisata untuk rakyat (tapi bayar) 🤔
Semoga saja Pemerintah Daerah bisa benar-benar bisa diperbaiki dibagian mananya ini !! gar kiranya tempat wisata rakyat bisa ramaipberkunjung dan rakyat benar-benar puas dengan tempat tersebut. Merdeka Banjarmasin Bungas 💪🫡🇮🇩",5,Erwin Effendi,2025-11-15T00:16:19.874Z,Kampung Ketupat,Kalimantan Selatan
Tempat bersantai di kota Banjarmasin dengan pemandangan sungai,bersantai kota banjarmasin pemandangan sungai,santa kota banjarmasin pandang sungai,Tempat bersantai di kota Banjarmasin dengan pemandangan sungai,5,Anisa Kuswandari Desse,2025-07-31T04:37:41.190Z,Kampung Ketupat,Kalimantan Selatan
Seperti foodcourt makanannbisa dibeli di stan makanan,foodcourt makanannbisa dibeli stan makanan,foodcourt makanannbisa beli stan makan,Seperti foodcourt makanannbisa dibeli di stan makanan,4,Rio,2025-07-28T00:23:12.719Z,Kampung Ketupat,Kalimantan Selatan
Underrated tempat nya,underrated,underrated,Underrated tempat nya,5,LocalDude87,2025-07-08T02:11:45.832Z,Kampung Ketupat,Kalimantan Selatan
lumayan,lumayan,lumayan,lumayan,5,Lutpia,2025-07-02T06:06:35.554Z,Kampung Ketupat,Kalimantan Selatan
Sunyi tanpa pengunjung. Yg jualan cuma sedikit. Suasana nyaman  bersih dan rindang,sunyi pengunjung jualan suasana nyaman bersih rindang,sunyi unjung jual suasana nyaman bersih rindang,Sunyi tanpa pengunjung. Yg jualan cuma sedikit. Suasana nyaman  bersih dan rindang,5,Aq F7,2025-07-01T07:49:35.771Z,Kampung Ketupat,Kalimantan Selatan
"Kampung Ketupat di Sungai Baru, Banjarmasin Tengah, awalnya dikenal sebagai sentra produksi ketupat harian oleh warga setempat. Kawasan ini kemudian dikembangkan menjadi destinasi wisata tematik yang mengusung konsep budaya dan kuliner khas Banjar. Dilengkapi dengan fasilitas seperti amfiteater, stan makanan, dan spot foto, tempat ini sempat ramai dikunjungi.

Namun, kawasan ini mengalami penurunan aktivitas karena pengelolaan yang buruk, termasuk masalah pembayaran pegawai dan kurangnya perawatan fasilitas. Hal ini menyebabkan area tersebut terbengkalai dan rawan disalahgunakan. Pada awal 2025, pemerintah kota mencoba menghidupkan kembali Kampung Ketupat dengan manajemen baru dan menghadirkan berbagai kuliner lokal tanpa memungut biaya masuk, sebagai upaya revitalisasi kawasan budaya dan ekonomi masyarakat sekitar.",kampung ketupat sungai banjarmasin tengah dikenal sentra produksi ketupat harian warga kawasan dikembangkan destinasi wisata tematik mengusung konsep budaya kuliner khas banjar dilengkapi fasilitas amfiteater stan makanan spot foto ramai dikunjungi kawasan mengalami penurunan aktivitas pengelolaan buruk pembayaran pegawai kurangnya perawatan fasilitas menyebabkan area terbengkalai rawan disalahgunakan pemerintah kota mencoba menghidupkan kampung ketupat manajemen menghadirkan kuliner lokal memungut biaya upaya revitalisasi kawasan budaya ekonomi masyarakat,kampung ketupat sungai banjarmasin tengah kenal sentra produksi ketupat hari warga kawasan kembang destinasi wisata tematik usung konsep budaya kuliner khas banjar lengkap fasilitas amfiteater stan makan spot foto ramai kunjung kawasan alami turun aktivitas kelola buruk bayar pegawai kurang awat fasilitas sebab area bengkalai rawan disalahgunakan perintah kota coba hidup kampung ketupat manajemen hadir kuliner lokal mungut biaya upaya revitalisasi kawasan budaya ekonomi masyarakat,"Kampung Ketupat di Sungai Baru, Banjarmasin Tengah, awalnya dikenal sebagai sentra produksi ketupat harian oleh warga setempat. Kawasan ini kemudian dikembangkan menjadi destinasi wisata tematik yang mengusung konsep budaya dan kuliner khas Banjar. Dilengkapi dengan fasilitas seperti amfiteater, stan makanan, dan spot foto, tempat ini sempat ramai dikunjungi.

Namun, kawasan ini mengalami penurunan aktivitas karena pengelolaan yang buruk, termasuk masalah pembayaran pegawai dan kurangnya perawatan fasilitas. Hal ini menyebabkan area tersebut terbengkalai dan rawan disalahgunakan. Pada awal 2025, pemerintah kota mencoba menghidupkan kembali Kampung Ketupat dengan manajemen baru dan menghadirkan berbagai kuliner lokal tanpa memungut biaya masuk, sebagai upaya revitalisasi kawasan budaya dan ekonomi masyarakat sekitar.",5,Short Kocak,2025-06-06T09:47:16.115Z,Kampung Ketupat,Kalimantan Selatan
infonya menarik,infonya menarik,info tarik,infonya menarik,1,Martapura New,2025-06-04T11:36:52.398Z,Kampung Ketupat,Kalimantan Selatan
