review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"untuk suasana budayanya masih tertahan dengan rapi..mulai bangunan..baju adat.dan kehidupan masyarakatnya..satu yang di sayangkan..keramahan penduduknya kurang komunikatif mungkin karena..salah satu adat istiadat yang di pake jg saya kurang tau..satu lagi masukan..kalau misal ada tourgaude alangkah baiknya di tawarkan dulu dari awal mau pake atau tidak,biar sama enak kepengujungnya..karena  toh kalau pun tidak..kita sudah ada petunjuk arah.. dan bukan menjadi keharusan",suasana budayanya tertahan rapi bangunan baju adat kehidupan masyarakatnya sayangkan keramahan penduduknya komunikatif salah adat istiadat pakai tau masukan tourgaude alangkah baiknya tawarkan pakai biar kepengujungnya petunjuk arah keharusan,suasana budaya tahan rapi bangun baju adat hidup masyarakat sayang ramah duduk komunikatif salah adat istiadat pakai tau masuk tourgaude alangkah baik tawar pakai biar ujung tunjuk arah harus,"untuk suasana budayanya masih tertahan dengan rapi..mulai bangunan..baju adat.dan kehidupan masyarakatnya..satu yang di sayangkan..keramahan penduduknya kurang komunikatif mungkin karena..salah satu adat istiadat yang di pake jg saya kurang tau..satu lagi masukan..kalau misal ada tourgaude alangkah baiknya di tawarkan dulu dari awal mau pake atau tidak,biar sama enak kepengujungnya..karena  toh kalau pun tidak..kita sudah ada petunjuk arah.. dan bukan menjadi keharusan",4,eksa chanel,2026-03-29T02:22:32.755Z,Kampung Marengo Baduy,Banten
"Better Dr pagi deh dah sampe supaya tracking ke dalemnya lebih banyak waktunyah.....
Kayana mau ngulang lagi deh kesana",better pagi tracking dalemnya waktunyah kayana ngulang kesana,better pagi tracking dalem waktunyah kayana ngulang kesana,"Better Dr pagi deh dah sampe supaya tracking ke dalemnya lebih banyak waktunyah.....
Kayana mau ngulang lagi deh kesana",5,Junika Hutajulu,2026-03-28T09:31:48.972Z,Kampung Marengo Baduy,Banten
Saya pengen durian lokal baduy untuk di jadikan rootstok.,pengin durian lokal baduy jadikan rootstok,pengin durian lokal baduy jadi rootstok,Saya pengen durian lokal baduy untuk di jadikan rootstok.,4,Doris Maulana,2026-02-14T11:02:00.950Z,Kampung Marengo Baduy,Banten
"Tempat pavorit saya untuk menjauh dari hingar bingar Jakarta,",pavorit menjauh hingar bingar jakarta,pavorit jauh hingar bingar jakarta,"Tempat pavorit saya untuk menjauh dari hingar bingar Jakarta,",5,Dani Bocah Tua Nakal,2026-01-22T23:33:52.083Z,Kampung Marengo Baduy,Banten
Pengalaman yang tak terlupakan,pengalaman terlupakan,alam lupa,Pengalaman yang tak terlupakan,5,scorpio,2026-01-20T08:54:23.228Z,Kampung Marengo Baduy,Banten
Ok,ok,ok,Ok,5,Budi Darmanto,2026-01-16T16:51:07.905Z,Kampung Marengo Baduy,Banten
"Perjalanan luar biasa, sebaiknya kesini jangan di musim hujan...",perjalanan kesini musim hujan,jalan kesini musim hujan,"Perjalanan luar biasa, sebaiknya kesini jangan di musim hujan...",5,Simbah adventure,2026-01-14T04:47:03.620Z,Kampung Marengo Baduy,Banten
"Baduy Luar adalah asli suku Baduy yang bisa berinteraksi dengan dunia luar,perjalanan ke dalam butuh waktu rata rata 2 jam bagi pemula dan lebih singkat bagi yang sudah terbiasa hiking ataupun mountain climbing.
Disana jangan harap akan bisa berkomunikasi dengan handphone,karena tidak ada sinyal.
Kalau mau menginap jangan lupa bawa senter,karena didalam juga tidak ada listrik.
Itu baru sedikit info kalau kita ingin benar benar mau back to nature.",baduy asli suku baduy berinteraksi dunia perjalanan butuh waktu rata rata jam pemula singkat terbiasa hiking mountain climbing disana harap berkomunikasi handphone sinyal menginap lupa bawa senter didalam listrik info back nature,baduy asli suku baduy interaksi dunia jalan butuh waktu rata rata jam mula singkat biasa hiking mountain climbing sana harap komunikasi handphone sinyal inap lupa bawa senter dalam listrik info back nature,"Baduy Luar adalah asli suku Baduy yang bisa berinteraksi dengan dunia luar,perjalanan ke dalam butuh waktu rata rata 2 jam bagi pemula dan lebih singkat bagi yang sudah terbiasa hiking ataupun mountain climbing.
Disana jangan harap akan bisa berkomunikasi dengan handphone,karena tidak ada sinyal.
Kalau mau menginap jangan lupa bawa senter,karena didalam juga tidak ada listrik.
Itu baru sedikit info kalau kita ingin benar benar mau back to nature.",4,Syaf rizal,2026-01-13T13:37:58.574Z,Kampung Marengo Baduy,Banten
Info nomor tempat pemancingannya om,info nomor pemancingannya om,info nomor pancing om,Info nomor tempat pemancingannya om,4,Arif pudin94,2025-12-27T14:32:38.492Z,Kampung Marengo Baduy,Banten
Ceritakan pengalaman Anda bebek tipe kebakaran,ceritakan pengalaman bebek tipe kebakaran,cerita alam bebek tipe bakar,Ceritakan pengalaman Anda bebek tipe kebakaran,5,Irfan Maulana Angga Saputra,2025-10-14T12:59:14.282Z,Kampung Marengo Baduy,Banten
"Seruu
Kalian harus juga trip ke tempat ini",seru trip,seru trip,"Seruu
Kalian harus juga trip ke tempat ini",5,Ratu Fatiyah,2025-09-30T20:25:03.620Z,Kampung Marengo Baduy,Banten
Sebagai culture budaya yg harus kita jaga bersama dan harus selalu dilestarikan oleh generasi penerus ...,culture budaya jaga dilestarikan generasi penerus,culture budaya jaga lestari generasi terus,Sebagai culture budaya yg harus kita jaga bersama dan harus selalu dilestarikan oleh generasi penerus ...,4,Budi Erawan,2025-01-11T15:47:54.737Z,Kampung Marengo Baduy,Banten
Baduy sangat bagus dan yg rumah nya trdisional,baduy bagus rumah trdisional,baduy bagus rumah trdisional,Baduy sangat bagus dan yg rumah nya trdisional,5,Vivo Y02,2025-01-08T13:05:46.417Z,Kampung Marengo Baduy,Banten
"Wisata paling murah di banten , pete & durian yang best seller!! 100K dapet 6 buah , pete cuma 2K ...",wisata murah banten pete durian best seller kak buah pete kak,wisata murah banten pete durian best seller kak buah pete kak,"Wisata paling murah di banten , pete & durian yang best seller!! 100K dapet 6 buah , pete cuma 2K ...",5,Pengguna Google,2024-12-23T23:11:49.213Z,Kampung Marengo Baduy,Banten
keringat siomay jadi vespa,keringat siomay vespa,keringat siomay vespa,keringat siomay jadi vespa,5,Zayyin Hilmi,2024-09-15T10:05:09.551Z,Kampung Marengo Baduy,Banten
Bersih masih alami dan sejuk,bersih alami sejuk,bersih alami sejuk,Bersih masih alami dan sejuk,5,Suryani Uyung,2024-07-22T18:39:34.537Z,Kampung Marengo Baduy,Banten
Hah ? Ko bisa kesini ? Da aku can pernah ke baduy jujurly. Iyeu saha nu kadieu nyah,hah kesini can baduy jujurly iyeu saha nu kadieu,hah kesini can baduy jujurly iyeu saha nu kadieu,Hah ? Ko bisa kesini ? Da aku can pernah ke baduy jujurly. Iyeu saha nu kadieu nyah,5,Belinda Svnv,2024-04-30T13:29:52.886Z,Kampung Marengo Baduy,Banten
Menyenangkan,menyenangkan,senang,Menyenangkan,5,Bang Oasis TV,2024-04-12T01:12:00.644Z,Kampung Marengo Baduy,Banten
Luar biasa menakjubkan,menakjubkan,takjub,Luar biasa menakjubkan,5,Judya Pratidina,2024-02-18T11:02:50.468Z,Kampung Marengo Baduy,Banten
"Seru pokoknya, siapkan fisik dan mental😅😅. Apalagi yg ga pernah olga. Capek seluruh badan terasa. Sebaikny yg blm pernah naik gunung cobain trek disini dl. Walaupun ga se ekstrim naik gunung seenggany bisa buat pemanasan😁.",seru pokoknya siapkan fisik mental olga capek badan sebaikny gunung coba trek ekstrim gunung seenggany pemanasan,seru pokok siap fisik mental olga capek badan sebaikny gunung coba trek ekstrim gunung seenggany panas,"Seru pokoknya, siapkan fisik dan mental😅😅. Apalagi yg ga pernah olga. Capek seluruh badan terasa. Sebaikny yg blm pernah naik gunung cobain trek disini dl. Walaupun ga se ekstrim naik gunung seenggany bisa buat pemanasan😁.",5,Eka Deasi,2024-02-13T16:30:31.869Z,Kampung Marengo Baduy,Banten
Alam dan kebudayaan nya mantap luar biasa,alam kebudayaan mantap,alam budaya mantap,Alam dan kebudayaan nya mantap luar biasa,5,muhamad irpan,2024-01-25T02:49:48.311Z,Kampung Marengo Baduy,Banten
OYOK 1345,oyok,oyok,OYOK 1345,5,Defano Cellular,2024-01-15T13:13:56.581Z,Kampung Marengo Baduy,Banten
"Tolong sampah2 plastiknya diperhatikan. Banyak banget sampah2 plastik dilingkungan maupun disaluran. Lindungi alam tanpa sampah.
Salam lestari",tolong sampah plastiknya diperhatikan banget sampah plastik dilingkungan disaluran lindungi alam sampah lestari,tolong sampah plastik perhati banget sampah plastik lingkung salur lindung alam sampah lestari,"Tolong sampah2 plastiknya diperhatikan. Banyak banget sampah2 plastik dilingkungan maupun disaluran. Lindungi alam tanpa sampah.
Salam lestari",5,R. Akhmad Awalianto,2024-01-15T02:55:47.138Z,Kampung Marengo Baduy,Banten
Wisata Baduy,wisata baduy,wisata baduy,Wisata Baduy,5,Kaweng Khan,2024-01-07T02:52:11.548Z,Kampung Marengo Baduy,Banten
"Bermalam di kampung  marengo Baduy.
Rumahnya adem, sisi kali, aktifitas warga yg alami,  mengingat kan kehidupan puluhan tahun silam.  Tanpa listrik dan sinyal.",bermalam kampung marengo baduy rumahnya adem sisi aktifitas warga alami kehidupan puluhan tahun silam listrik sinyal,malam kampung marengo baduy rumah adem sisi aktifitas warga alami hidup puluh tahun silam listrik sinyal,"Bermalam di kampung  marengo Baduy.
Rumahnya adem, sisi kali, aktifitas warga yg alami,  mengingat kan kehidupan puluhan tahun silam.  Tanpa listrik dan sinyal.",5,Miruan syach,2023-12-26T22:58:12.276Z,Kampung Marengo Baduy,Banten
Indah,indah,indah,Indah,4,Nurhidayah Umar,2023-12-25T10:03:03.235Z,Kampung Marengo Baduy,Banten
