review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Yang menarik dari wisata ini, untuk menuju pulau Kemaro kita wajib naek perahu melintasi sungai Musi yang panjang.
Serunya dalam perjalanan yang diguncang guncang deburan dan ombak kecil.
Asyik dan seru
Recommended 👍",menarik wisata pulau kemaro wajib perahu melintasi sungai musi serunya perjalanan diguncang guncang deburan ombak asyik seru recommended,tarik wisata pulau maro wajib perahu lintas sungai mus seru jalan guncang guncang debur ombak asyik seru recommended,"Yang menarik dari wisata ini, untuk menuju pulau Kemaro kita wajib naek perahu melintasi sungai Musi yang panjang.
Serunya dalam perjalanan yang diguncang guncang deburan dan ombak kecil.
Asyik dan seru
Recommended 👍",5,Indiis Waelah,2026-05-04T02:04:47.425Z,Pulau Kemaro,Sumatera Selatan
Family gathring kesini,family gathring kesini,family gathring kesini,Family gathring kesini,5,Ferriyal Sepriza FH,2026-05-03T01:20:50.408Z,Pulau Kemaro,Sumatera Selatan
Tempat ini sangat seru banyak makanan dan minuman yang di perjuanl belikan di situ sehingga bisa membantu daya tarik orang,seru makanan minuman perjuanl belikan situ membantu daya tarik,seru makan minum perjuanl belikan situ bantu daya tarik,Tempat ini sangat seru banyak makanan dan minuman yang di perjuanl belikan di situ sehingga bisa membantu daya tarik orang,5,revan Saputra,2026-03-24T09:50:50.567Z,Pulau Kemaro,Sumatera Selatan
"Tempatnya bersih, dan harga makanan, aksesoris terjangkau tidak membuat leher tercekik, kalo ada event besar juga ada polisi yang jaga jadi sangat aman ya..",tempatnya bersih harga makanan aksesoris terjangkau leher tercekik kalo event polisi jaga aman,tempat bersih harga makan aksesoris jangkau leher cekik kalo event polisi jaga aman,"Tempatnya bersih, dan harga makanan, aksesoris terjangkau tidak membuat leher tercekik, kalo ada event besar juga ada polisi yang jaga jadi sangat aman ya..",5,Aprianto,2026-03-19T13:57:06.757Z,Pulau Kemaro,Sumatera Selatan
Rumah saya,rumah,rumah,Rumah saya,5,Yusril Eka Saputra,2026-03-07T13:47:31.149Z,Pulau Kemaro,Sumatera Selatan
"Lumayan lah sudah lama gak cap go meh
Tapi kalau bisa lebih rapi dan bersih sih
Sayang rame dan hidup loh eventnya",lumayan cap go meh rapi bersih sayang rame hidup eventnya,lumayan cap go meh rapi bersih sayang rame hidup eventnya,"Lumayan lah sudah lama gak cap go meh
Tapi kalau bisa lebih rapi dan bersih sih
Sayang rame dan hidup loh eventnya",3,廖Felix,2026-03-02T14:37:56.542Z,Pulau Kemaro,Sumatera Selatan
Pulau kemaro selain merupakan tempat ibadah umat Buddha juga menjadi salah satu tempat wisata yang wajib dikunjungi di Palembang. Apalagi sekarang setelah di reklamasi sehingga pulau menjadi lebih luas dan tertata 👍. Lebih bagus lagi kalau mengunjungi pulau ini di saat perayaan cap go meh 🧧,pulau kemaro ibadah umat buddha salah wisata wajib dikunjungi palembang reklamasi pulau luas tertata bagus mengunjungi pulau perayaan cap go meh,pulau maro ibadah umat buddha salah wisata wajib kunjung palembang reklamasi pulau luas tata bagus unjung pulau raya cap go meh,Pulau kemaro selain merupakan tempat ibadah umat Buddha juga menjadi salah satu tempat wisata yang wajib dikunjungi di Palembang. Apalagi sekarang setelah di reklamasi sehingga pulau menjadi lebih luas dan tertata 👍. Lebih bagus lagi kalau mengunjungi pulau ini di saat perayaan cap go meh 🧧,5,Leo Nardo,2026-03-01T12:42:37.836Z,Pulau Kemaro,Sumatera Selatan
Religiua,religiua,religiua,Religiua,5,Rec Diec,2026-02-27T14:20:23.743Z,Pulau Kemaro,Sumatera Selatan
"Baiknya lebih di kelola lebih baik lagi, sayang sekali aset sejarah kurang terawat",baiknya kelola sayang aset sejarah terawat,baik kelola sayang aset sejarah awat,"Baiknya lebih di kelola lebih baik lagi, sayang sekali aset sejarah kurang terawat",4,Ira Wira,2025-12-29T07:22:18.156Z,Pulau Kemaro,Sumatera Selatan
"🌿 Legenda Pulau Kemaro

Pulau Kemaro dipercaya berasal dari kisah cinta tragis antara Siti Fatimah, putri bangsawan Palembang, dan Tan Bun An, seorang pangeran dari Tiongkok.
Keduanya saling jatuh cinta meski berasal dari budaya dan latar belakang yang berbeda.

Saat Tan Bun An datang ke Palembang untuk melamar, ia membawa hadiah berupa guci-guci besar yang konon berisi emas. Namun saat dibuka, isinya terlihat seperti sawi asin. Karena merasa dihina, Siti Fatimah kecewa dan menolak hadiah tersebut.

Tan Bun An yang merasa bersalah kemudian membuang guci-guci itu ke Sungai Musi. Namun setelah disadari, di dasar guci ternyata tersembunyi emas. Ia pun menyelam untuk mengambilnya, tapi tak pernah kembali ke permukaan.
Melihat hal itu, Siti Fatimah menyusul dengan melompat ke sungai demi cintanya.

Konon, dari tempat tenggelamnya mereka berdua muncullah sebuah daratan kecil yang kini dikenal sebagai Pulau Kemaro.
Pulau ini dipercaya sebagai simbol cinta sejati, kesetiaan, dan pengorbanan.

⸻

🏮 Fakta Menarik
•	Pulau Kemaro tidak pernah tergenang meski Sungai Musi pasang.
•	Di pulau ini terdapat pagoda 9 lantai, vihara, dan makam yang dipercaya sebagai makam Siti Fatimah & Tan Bun An.
•	Setiap perayaan Cap Go Meh, pulau ini ramai dikunjungi peziarah dan wisatawan.",legenda pulau kemaro pulau kemaro dipercaya berasal kisah cinta tragis siti fatimah putri bangsawan palembang tan bun an pangeran tiongkok jatuh cinta berasal budaya latar berbeda tan bun an palembang melamar membawa hadiah guci guci konon berisi emas dibuka isinya sawi asin dihina siti fatimah kecewa menolak hadiah tan bun an bersalah membuang guci guci sungai musi disadari dasar guci tersembunyi emas menyelam mengambilnya permukaan siti fatimah menyusul melompat sungai cintanya konon tenggelamnya berdua muncullah daratan dikenal pulau kemaro pulau dipercaya simbol cinta sejati kesetiaan pengorbanan fakta menarik pulau kemaro tergenang sungai musi pasang pulau pagoda lantai vihara makam dipercaya makam siti fatimah tan bun an perayaan cap go meh pulau ramai dikunjungi peziarah wisatawan,legenda pulau maro pulau maro percaya asal kisah cinta tragis siti fatimah putri bangsawan palembang tan bun an pangeran tiongkok jatuh cinta asal budaya latar beda tan bun an palembang lamar bawa hadiah guci guci konon isi emas buka isi sawi asin hina siti fatimah kecewa tolak hadiah tan bun an salah buang guci guci sungai mus sadar dasar guci sembunyi emas selam ambil muka siti fatimah susul lompat sungai cinta konon tenggelam dua muncul darat kenal pulau maro pulau percaya simbol cinta sejati setia korban fakta tarik pulau maro genang sungai mus pasang pulau pagoda lantai vihara makam percaya makam siti fatimah tan bun an raya cap go meh pulau ramai kunjung ziarah wisatawan,"🌿 Legenda Pulau Kemaro

Pulau Kemaro dipercaya berasal dari kisah cinta tragis antara Siti Fatimah, putri bangsawan Palembang, dan Tan Bun An, seorang pangeran dari Tiongkok.
Keduanya saling jatuh cinta meski berasal dari budaya dan latar belakang yang berbeda.

Saat Tan Bun An datang ke Palembang untuk melamar, ia membawa hadiah berupa guci-guci besar yang konon berisi emas. Namun saat dibuka, isinya terlihat seperti sawi asin. Karena merasa dihina, Siti Fatimah kecewa dan menolak hadiah tersebut.

Tan Bun An yang merasa bersalah kemudian membuang guci-guci itu ke Sungai Musi. Namun setelah disadari, di dasar guci ternyata tersembunyi emas. Ia pun menyelam untuk mengambilnya, tapi tak pernah kembali ke permukaan.
Melihat hal itu, Siti Fatimah menyusul dengan melompat ke sungai demi cintanya.

Konon, dari tempat tenggelamnya mereka berdua muncullah sebuah daratan kecil yang kini dikenal sebagai Pulau Kemaro.
Pulau ini dipercaya sebagai simbol cinta sejati, kesetiaan, dan pengorbanan.

⸻

🏮 Fakta Menarik
•	Pulau Kemaro tidak pernah tergenang meski Sungai Musi pasang.
•	Di pulau ini terdapat pagoda 9 lantai, vihara, dan makam yang dipercaya sebagai makam Siti Fatimah & Tan Bun An.
•	Setiap perayaan Cap Go Meh, pulau ini ramai dikunjungi peziarah dan wisatawan.",4,Miketravelsofar,2025-12-25T00:29:36.461Z,Pulau Kemaro,Sumatera Selatan
"Kebersihan tempatnya benar benar terjaga , harga makanan dan aksesoris disini juga termasuk terjangkau  , pokoknya kalau untuk sekedar kumpul sama teman disini wisata asik banget",kebersihan tempatnya terjaga harga makanan aksesoris terjangkau pokoknya sekedar kumpul teman wisata asik banget,bersih tempat jaga harga makan aksesoris jangkau pokok dar kumpul teman wisata asik banget,"Kebersihan tempatnya benar benar terjaga , harga makanan dan aksesoris disini juga termasuk terjangkau  , pokoknya kalau untuk sekedar kumpul sama teman disini wisata asik banget",5,Ratna Sari Purwaningsih,2025-10-13T06:45:46.617Z,Pulau Kemaro,Sumatera Selatan
Pulau Kemaro ada legenda,pulau kemaro legenda,pulau maro legenda,Pulau Kemaro ada legenda,5,Heni Oktafiyahningsih,2025-10-11T06:06:04.705Z,Pulau Kemaro,Sumatera Selatan
Cantik,cantik,cantik,Cantik,5,Esti Wulandari,2025-08-13T14:39:57.048Z,Pulau Kemaro,Sumatera Selatan
Salah satu tempat bersejarah yang ada di Palembang,salah bersejarah palembang,salah sejarah palembang,Salah satu tempat bersejarah yang ada di Palembang,5,Surya Dharmajaya,2025-07-29T01:27:12.058Z,Pulau Kemaro,Sumatera Selatan
"Agak lain 10ribu jadi
#100ribuNyebrang",ribu ribunyebrang,ribu ribunyebrang,"Agak lain 10ribu jadi
#100ribuNyebrang",1,MbE 1,2025-06-19T13:55:16.919Z,Pulau Kemaro,Sumatera Selatan
Kalo ke Palembang mesti mampir ke sini,kalo palembang mesti mampir,kalo palembang mesti mampir,Kalo ke Palembang mesti mampir ke sini,5,lusi wardhanie,2025-06-08T00:53:00.739Z,Pulau Kemaro,Sumatera Selatan
Info untuk lebaran ini harga tiket berapo kalo nak ke pulau kemaro,info lebaran harga tiket berapo kalo nak pulau kemaro,info lebaran harga tiket apo kalo nak pulau maro,Info untuk lebaran ini harga tiket berapo kalo nak ke pulau kemaro,5,ari juansyah putra,2025-04-06T05:28:50.214Z,Pulau Kemaro,Sumatera Selatan
