review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Wisata group Raja Ampat bersama teman-teman, salah satunya ke kampung wisata Sauwandarek. Di sini kita dapat melakukan diving atau snorkeling, banyak ikan dan karang laut yang cantik dan masih alami.
Di sini juga terdapat perkampungan nelayan yang cukup ramai, terdapat beberapa tempat ibadah dan juga di sini terdapat Kantor Pelayanan PLN.",wisata group raja ampat teman teman salah satunya kampung wisata sauwandarek diving snorkeling ikan karang laut cantik alami perkampungan nelayan ramai ibadah kantor pelayanan pln,wisata group raja ampat teman teman salah satu kampung wisata sauwandarek diving snorkeling ikan karang laut cantik alami kampung nelayan ramai ibadah kantor layan pln,"Wisata group Raja Ampat bersama teman-teman, salah satunya ke kampung wisata Sauwandarek. Di sini kita dapat melakukan diving atau snorkeling, banyak ikan dan karang laut yang cantik dan masih alami.
Di sini juga terdapat perkampungan nelayan yang cukup ramai, terdapat beberapa tempat ibadah dan juga di sini terdapat Kantor Pelayanan PLN.",5,Muhlison R,2026-04-11T13:08:23.757Z,Sauwandarek,Papua Barat
"Snorkling di sini pakai paket raja ampat.
Ikan2nya banyak, ga takut manusia hehehe",snorkling pakai paket raja ampat ikan takut manusia hehehe,snorkling pakai paket raja ampat ikan takut manusia hehehe,"Snorkling di sini pakai paket raja ampat.
Ikan2nya banyak, ga takut manusia hehehe",5,Rina Rusdiana,2025-12-21T05:34:06.562Z,Sauwandarek,Papua Barat
Tempat snorkeling bagus,snorkeling bagus,snorkeling bagus,Tempat snorkeling bagus,5,M. Wahyu Arya Putra,2025-11-14T09:15:53.687Z,Sauwandarek,Papua Barat
Spot snorkling dan diving yang bagus.,spot snorkling diving bagus,spot snorkling diving bagus,Spot snorkling dan diving yang bagus.,5,Auditha Sugara,2025-09-07T09:31:24.878Z,Sauwandarek,Papua Barat
"Salah satu destinasi pariwisata paling menarik di Raja Ampat dengan menari² bersama ikan² di laut, pokoknya puas deh ❤",salah destinasi pariwisata menarik raja ampat menari ikan laut pokoknya puas,salah destinasi pariwisata tarik raja ampat tari ikan laut pokok puas,"Salah satu destinasi pariwisata paling menarik di Raja Ampat dengan menari² bersama ikan² di laut, pokoknya puas deh ❤",5,Jeine Mokalu,2025-08-01T04:41:05.971Z,Sauwandarek,Papua Barat
"Desa wisata yang berbeda dari kesan wisata karena benar-benar tenang dan sederhana. Ada gereja adven, beberapa guesthouse yang start dari 500/malam. Kalau stay di desa ini plis banyak interaksi ssma warga ya, berbagi ilmu dan kalau bisa bawa beberapa hal yang akan berguna. Ini lokasi strategis buat diving dan snorkeling-",desa wisata berbeda kesan wisata tenang sederhana gereja adven guesthouse start malam stay desa plis interaksi ssma warga berbagi ilmu bawa berguna lokasi strategis diving snorkeling,desa wisata beda kesan wisata tenang sederhana gereja adven guesthouse start malam stay desa plis interaksi ssma warga bagi ilmu bawa guna lokasi strategis diving snorkeling,"Desa wisata yang berbeda dari kesan wisata karena benar-benar tenang dan sederhana. Ada gereja adven, beberapa guesthouse yang start dari 500/malam. Kalau stay di desa ini plis banyak interaksi ssma warga ya, berbagi ilmu dan kalau bisa bawa beberapa hal yang akan berguna. Ini lokasi strategis buat diving dan snorkeling-",5,claudya elleossa,2025-07-30T09:01:04.268Z,Sauwandarek,Papua Barat
"Untuk snorkling bagus..ikan n terumbu karangnya masih oke...
Fasilitas toilet lengkap..kurang warung tuk makan ikan bakar aja disitu...",snorkling bagus ikan terumbu karangnya oke fasilitas toilet lengkap warung makan ikan bakar disitu,snorkling bagus ikan terumbu karang oke fasilitas toilet lengkap warung makan ikan bakar situ,"Untuk snorkling bagus..ikan n terumbu karangnya masih oke...
Fasilitas toilet lengkap..kurang warung tuk makan ikan bakar aja disitu...",4,maya kurniawati,2025-06-28T05:17:56.061Z,Sauwandarek,Papua Barat
Tempat berenang dan menyelam yang menyenangkan,berenang menyelam menyenangkan,renang selam senang,Tempat berenang dan menyelam yang menyenangkan,5,Benedictus Roembiak,2025-05-23T07:10:11.416Z,Sauwandarek,Papua Barat
Amazing,amazing,amazing,Amazing,5,just uday,2025-02-20T16:51:26.039Z,Sauwandarek,Papua Barat
"Kampung yang bersih, penduduknya ramah, dermaganya bagus untuk snorkling atau diving.",kampung bersih penduduknya ramah dermaganya bagus snorkling diving,kampung bersih duduk ramah dermaga bagus snorkling diving,"Kampung yang bersih, penduduknya ramah, dermaganya bagus untuk snorkling atau diving.",5,Mohamad Farouk Riza,2025-01-23T12:49:02.828Z,Sauwandarek,Papua Barat
beautiful places,beautiful places,beautiful places,beautiful places,5,Ibenk Lesmana,2024-11-25T11:02:22.580Z,Sauwandarek,Papua Barat
"Disini akan ditemukan keramahan penduduk lokal. Disini juga ditemukan Sukun terenak di dunia, tidak akan bikin batuk setelah makan berapapun karena menggunakan minyak kelapa asli.",ditemukan keramahan penduduk lokal ditemukan sukun terenak dunia bikin batuk makan minyak kelapa asli,temu ramah duduk lokal temu sukun enak dunia bikin batuk makan minyak kelapa asli,"Disini akan ditemukan keramahan penduduk lokal. Disini juga ditemukan Sukun terenak di dunia, tidak akan bikin batuk setelah makan berapapun karena menggunakan minyak kelapa asli.",5,April O'Neil,2024-10-29T09:24:52.056Z,Sauwandarek,Papua Barat
Snorkling splendide !,snorkling splendide,snorkling splendide,Snorkling splendide !,5,cathy maillet,2024-10-07T08:06:25.671Z,Sauwandarek,Papua Barat
Pas buat healing,pas healing,pas healing,Pas buat healing,5,Doni Hernandi,2024-10-01T09:15:54.509Z,Sauwandarek,Papua Barat
"Spot snorkeling yang bagus banget, masih diatas boat saja ikannya sudah kelihatan, biaya masuk dihitung per boat",spot snorkeling bagus banget diatas boat ikannya biaya dihitung boat,spot snorkeling bagus banget atas boat ikan biaya hitung boat,"Spot snorkeling yang bagus banget, masih diatas boat saja ikannya sudah kelihatan, biaya masuk dihitung per boat",5,Fida Rahmadani,2024-08-23T21:51:23.920Z,Sauwandarek,Papua Barat
Untuk Snorkling dan wisata kasih makan ikan,snorkling wisata kasih makan ikan,snorkling wisata kasih makan ikan,Untuk Snorkling dan wisata kasih makan ikan,4,Surya Eka,2024-08-15T01:55:05.993Z,Sauwandarek,Papua Barat
THE BEST OFCOURSE~,the best ofcourse,the best ofcourse,THE BEST OFCOURSE~,5,septiana cuy,2024-06-26T08:00:11.787Z,Sauwandarek,Papua Barat
"Airnya jernih, ikannya banyak banget",airnya jernih ikannya banget,air jernih ikan banget,"Airnya jernih, ikannya banyak banget",5,HE HE,2024-05-31T06:36:46.605Z,Sauwandarek,Papua Barat
Spot snorkeling terbaik di raja ampat. Memiliki keanekaragaman biota laut yang luar biasa. Wisata ini dikeola dengan baik dsn dijaga dengan baik.,spot snorkeling terbaik raja ampat memiliki keanekaragaman biota laut wisata dikeola dsn dijaga,spot snorkeling baik raja ampat milik keanekaragaman biota laut wisata dikeola dsn jaga,Spot snorkeling terbaik di raja ampat. Memiliki keanekaragaman biota laut yang luar biasa. Wisata ini dikeola dengan baik dsn dijaga dengan baik.,5,Vincensius Surya,2024-05-09T09:54:06.670Z,Sauwandarek,Papua Barat
Salah satu kamapung yg sangat nyaman dan masih asri di raja ampat,salah kamapung nyaman asri raja ampat,salah kamapung nyaman asri raja ampat,Salah satu kamapung yg sangat nyaman dan masih asri di raja ampat,5,Dive Driver,2024-04-11T03:20:09.308Z,Sauwandarek,Papua Barat
Famous for Indonesian Sakura!,famous for indonesian sakura,famous for indonesian sakura,Famous for Indonesian Sakura!,5,yongsin yang,2024-04-04T14:08:46.976Z,Sauwandarek,Papua Barat
Sangat bagus tempat nya.,bagus,bagus,Sangat bagus tempat nya.,5,Sebastian Suebu,2024-01-10T00:34:53.763Z,Sauwandarek,Papua Barat
Posto incantevole.,posto incantevole,posto incantevole,Posto incantevole.,5,Gianluca Ballini,2023-12-30T09:51:49.563Z,Sauwandarek,Papua Barat
"Seminggu yng lalu abis darisini, indah bangeet dan asri 😍. Sepulang darisana kena ombak gede perjalanan pulangnya. tapi amazing lah tak terbayarkan pengalamannya.",seminggu habis darisini indah banget asri sepulang darisana ombak gede perjalanan pulangnya amazing terbayarkan pengalamannya,minggu habis darisini indah banget asri pulang darisana ombak gede jalan pulang amazing bayar alam,"Seminggu yng lalu abis darisini, indah bangeet dan asri 😍. Sepulang darisana kena ombak gede perjalanan pulangnya. tapi amazing lah tak terbayarkan pengalamannya.",5,Wulandari Wulandari,2023-12-26T05:05:16.400Z,Sauwandarek,Papua Barat
"Tempatnya baguuus bangett, airnya jernihh, terumbu karang, ikan2 juga bisa terlihat jelass .. ♥️♥️🥰
dan jugaaa Spot snorkling yang sangat bagus, ikan ikan warna warnii berada mendekat dengan sendirinya. Ragam ikan yang sangat indah dengan ukuran kecil sampai besar.. nice place 😍♥️👍",tempatnya bagus banget airnya jernihh terumbu karang ikan jelass spot snorkling bagus ikan ikan warna warnii mendekat ragam ikan indah ukuran nice place,tempat bagus banget air jernihh terumbu karang ikan jelass spot snorkling bagus ikan ikan warna warnii dekat ragam ikan indah ukur nice place,"Tempatnya baguuus bangett, airnya jernihh, terumbu karang, ikan2 juga bisa terlihat jelass .. ♥️♥️🥰
dan jugaaa Spot snorkling yang sangat bagus, ikan ikan warna warnii berada mendekat dengan sendirinya. Ragam ikan yang sangat indah dengan ukuran kecil sampai besar.. nice place 😍♥️👍",5,DON' SI,2023-12-25T13:35:51.245Z,Sauwandarek,Papua Barat
