review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Jalanan nya penuh lubang dan becek,jalanan penuh lubang becek,jalan penuh lubang becek,Jalanan nya penuh lubang dan becek,3,Robett Ofloco,2026-05-05T14:26:00.844Z,Setu Babakan,DKI Jakarta
"Bagus, adem, tenang, tapi sayang jalannya becek",bagus adem tenang sayang jalannya becek,bagus adem tenang sayang jalan becek,"Bagus, adem, tenang, tapi sayang jalannya becek",3,Agus Rizal,2026-05-03T10:36:30.697Z,Setu Babakan,DKI Jakarta
Keren dan Syahdu,keren syahdu,keren syahdu,Keren dan Syahdu,5,Helmi Djamanie,2026-05-03T01:35:43.440Z,Setu Babakan,DKI Jakarta
"minim informasi, jalanannya jelek, petugas songong. gak sebagus yang ada di foto.",minim informasi jalanannya jelek petugas songong sebagus foto,minim informasi jalan jelek tugas songong bagus foto,"minim informasi, jalanannya jelek, petugas songong. gak sebagus yang ada di foto.",1,thisloeyland,2026-05-01T11:51:22.167Z,Setu Babakan,DKI Jakarta
"Petugas kurang ramah dan tidak informatif. Saya tidak mengetahui bahwa di area tersebut tidak diperbolehkan mengambil foto. Saat saya menyampaikan apa yang saya ketahui, respons yang diberikan justru ‘tahu dari siapa itu’ dengan nada dan ekspresi yang terasa mengintimidasi. Padahal, saya tidak memaksa atau berdebat, hanya menyampaikan apa yang saya pahami. Setelah diberi tahu, saya juga langsung pulang dan tidak mencoba untuk tetap masuk atau melanggar aturan. Akan lebih baik jika petugas memberikan penjelasan dengan cara yang lebih sopan dan informatif. Semoga ke depannya pelayanan dapat disampaikan dengan lebih baik dan manusiawi, agar tidak merusak momen penting pengunjung.",petugas ramah informatif area diperbolehkan mengambil foto ketahui respons nada ekspresi mengintimidasi memaksa berdebat pahami pulang mencoba melanggar aturan petugas penjelasan sopan informatif semoga depannya pelayanan manusiawi merusak momen pengunjung,tugas ramah informatif area boleh ambil foto tahu respons nada ekspresi intimidasi paksa debat paham pulang coba langgar atur tugas jelas sopan informatif moga depan layan manusiawi rusak momen unjung,"Petugas kurang ramah dan tidak informatif. Saya tidak mengetahui bahwa di area tersebut tidak diperbolehkan mengambil foto. Saat saya menyampaikan apa yang saya ketahui, respons yang diberikan justru ‘tahu dari siapa itu’ dengan nada dan ekspresi yang terasa mengintimidasi. Padahal, saya tidak memaksa atau berdebat, hanya menyampaikan apa yang saya pahami. Setelah diberi tahu, saya juga langsung pulang dan tidak mencoba untuk tetap masuk atau melanggar aturan. Akan lebih baik jika petugas memberikan penjelasan dengan cara yang lebih sopan dan informatif. Semoga ke depannya pelayanan dapat disampaikan dengan lebih baik dan manusiawi, agar tidak merusak momen penting pengunjung.",1,Milk Tea,2026-05-01T11:42:46.011Z,Setu Babakan,DKI Jakarta
Tempat bagus bersih,bagus bersih,bagus bersih,Tempat bagus bersih,5,Sudarnanto Nanto,2026-04-29T11:50:58.976Z,Setu Babakan,DKI Jakarta
"Kalo lagi iseng, nongkrong di sini lumayan lah...murah meriah",kalo iseng nongkrong lumayan murah meriah,kalo iseng nongkrong lumayan murah riah,"Kalo lagi iseng, nongkrong di sini lumayan lah...murah meriah",5,MuGi pRaYitnO,2026-04-25T06:20:05.809Z,Setu Babakan,DKI Jakarta
sangat luas untuk cagar budaya,luas cagar budaya,luas cagar budaya,sangat luas untuk cagar budaya,5,Muhammad Soleh,2026-04-20T12:46:07.947Z,Setu Babakan,DKI Jakarta
"buat anak sekolah atau pengunjung yang ingin berkunjung atau melakukan tugas dari sekolah ke pusat informasi terkait Setu Babakan atau berkunjung ke museum betawi, disarankan jangan pake titik ini kalo pake ojek/taksi online, solanya titik ini letaknya jauh dari pusat informasi nya/museum nya atau tempat yang sering dijadikan pusat keramaian, titik ini tepat di bantaran setu babakan dan kalo jalan lumayan jauh. disarankan mencari titik/mengetik ""Unit Pengelola Kawasan Perkampungan Budaya Betawi Setu Babakan atau Museum Betawi"" di google maps.",anak sekolah pengunjung berkunjung tugas sekolah pusat informasi terkait setu babakan berkunjung museum betawi disarankan pakai titik kalo pakai ojek taksi online solanya titik letaknya pusat informasi museum dijadikan pusat keramaian titik bantaran setu babakan kalo jalan lumayan disarankan mencari titik mengetik unit pengelola kawasan perkampungan budaya betawi setu babakan museum betawi,anak sekolah unjung kunjung tugas sekolah pusat informasi kait setu babakan kunjung museum betawi saran pakai titik kalo pakai ojek taksi online solanya titik letak pusat informasi museum jadi pusat ramai titik bantaran setu babakan kalo jalan lumayan saran cari titik etik unit kelola kawasan kampung budaya betawi setu babakan museum betawi,"buat anak sekolah atau pengunjung yang ingin berkunjung atau melakukan tugas dari sekolah ke pusat informasi terkait Setu Babakan atau berkunjung ke museum betawi, disarankan jangan pake titik ini kalo pake ojek/taksi online, solanya titik ini letaknya jauh dari pusat informasi nya/museum nya atau tempat yang sering dijadikan pusat keramaian, titik ini tepat di bantaran setu babakan dan kalo jalan lumayan jauh. disarankan mencari titik/mengetik ""Unit Pengelola Kawasan Perkampungan Budaya Betawi Setu Babakan atau Museum Betawi"" di google maps.",3,bobby oioi,2026-04-20T10:05:42.144Z,Setu Babakan,DKI Jakarta
Air nya basah,air basah,air basah,Air nya basah,5,MANDIRI BATTERY,2026-04-07T04:14:40.492Z,Setu Babakan,DKI Jakarta
