review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Lokasi tidakbegitu jauh..hanya saja syng sekali jalan masukny msh perlu perbaikan...lokasi cukup nyaman buat wisata keluarga...,lokasi tidakbegitu sayang jalan masukny perbaikan lokasi nyaman wisata keluarga,lokasi tidakbegitu sayang jalan masukny baik lokasi nyaman wisata keluarga,Lokasi tidakbegitu jauh..hanya saja syng sekali jalan masukny msh perlu perbaikan...lokasi cukup nyaman buat wisata keluarga...,5,desi armiliyati,2026-03-28T01:11:11.996Z,Tanjung Laut,Jambi
"Sejuk, adem, dan unik",sejuk adem unik,sejuk adem unik,"Sejuk, adem, dan unik",4,Rian Andika,2025-10-13T04:28:37.712Z,Tanjung Laut,Jambi
Dtang pas lagi surut,dtang pas surut,dtang pas surut,Dtang pas lagi surut,4,Ardiansyah,2025-06-29T12:48:07.984Z,Tanjung Laut,Jambi
Bagus tp jalananny...,bagus jalananny,bagus jalananny,Bagus tp jalananny...,5,Andeys,2024-07-17T12:45:29.489Z,Tanjung Laut,Jambi
"Danaunya bagus ,saran aja enak kesana klo airnya pasang, jadi lebih indah aja,suasananya alami bnget dan tenang",danaunya bagus saran kesana kalo airnya pasang indah suasananya alami banget tenang,danau bagus saran kesana kalo air pasang indah suasana alami banget tenang,"Danaunya bagus ,saran aja enak kesana klo airnya pasang, jadi lebih indah aja,suasananya alami bnget dan tenang",5,Abdullah Rival,2024-07-17T05:40:25.545Z,Tanjung Laut,Jambi
Cocok untuk rekreasi bersama keluarga hanya saja perlu meningkatkan fasilitas yang ada supaya lebih menarik,cocok rekreasi keluarga meningkatkan fasilitas menarik,cocok rekreasi keluarga tingkat fasilitas tarik,Cocok untuk rekreasi bersama keluarga hanya saja perlu meningkatkan fasilitas yang ada supaya lebih menarik,3,Reza DP,2024-06-05T03:49:27.132Z,Tanjung Laut,Jambi
"Lokasi di ujung desa
Pengelolalan wisata air oleh desa sudah cukup baik",lokasi ujung desa pengelolalan wisata air desa,lokasi ujung desa pengelolalan wisata air desa,"Lokasi di ujung desa
Pengelolalan wisata air oleh desa sudah cukup baik",3,yusuf zen,2024-05-28T11:42:09.299Z,Tanjung Laut,Jambi
Sangat mengesankan,mengesankan,kesan,Sangat mengesankan,1,Ishep Evimaryani,2024-05-05T16:10:10.714Z,Tanjung Laut,Jambi
"Mohon maaf untuk kali ini saya kecewa sama tempat Wisata danau tangkas,Pegawai karcis nya tidak ramah,Atitudenya tidak dijagaa berbicara dengan yang lebih tua disama ratakan dengan seusia nyaa,Terima kasih",maaf kecewa wisata danau tangkas pegawai karcis ramah atitudenya dijagaa berbicara tua disama ratakan seusia terima kasih,maaf kecewa wisata danau tangkas pegawai karcis ramah atitudenya dijagaa bicara tua sama rata usia terima kasih,"Mohon maaf untuk kali ini saya kecewa sama tempat Wisata danau tangkas,Pegawai karcis nya tidak ramah,Atitudenya tidak dijagaa berbicara dengan yang lebih tua disama ratakan dengan seusia nyaa,Terima kasih",1,RahayuNovitasari,2024-04-16T13:22:30.073Z,Tanjung Laut,Jambi
"Terakhir kesini 4tahun lalu ngecamp, keingat ke danaunya nyebrang pake skitboat ternyata sekrang enggak lg sejak ada jembatannya. Sayang bangetttt. Mana tiketnya 28rb belum termasuk apa-apa. Sewa tenda 50rb saya kira udah masuk matras full tenda ternyata cuma dapet 1gulung tikar 😭 tau gitu bawa dr rumah. Tamabah tikar 15rb, tambah kayu kabar 10rb",kesini tahun ngecamp keingat danaunya nyebrang pakai skitboat jembatannya sayang banget tiketnya ribu sewa tenda ribu matras full tenda gulung tikar tau bawa rumah tamabah tikar ribu kayu kabar ribu,kesini tahun ngecamp ingat danau nyebrang pakai skitboat jembatan sayang banget tiket ribu sewa tenda ribu matras full tenda gulung tikar tau bawa rumah tamabah tikar ribu kayu kabar ribu,"Terakhir kesini 4tahun lalu ngecamp, keingat ke danaunya nyebrang pake skitboat ternyata sekrang enggak lg sejak ada jembatannya. Sayang bangetttt. Mana tiketnya 28rb belum termasuk apa-apa. Sewa tenda 50rb saya kira udah masuk matras full tenda ternyata cuma dapet 1gulung tikar 😭 tau gitu bawa dr rumah. Tamabah tikar 15rb, tambah kayu kabar 10rb",5,Yuli Susanti,2024-04-16T09:22:08.663Z,Tanjung Laut,Jambi
"Petunjuk arah mohon ditambah, karena pake google maps agak menyesatkan.
Tempat nya asik & nyaman.
Harga jajanan juga standar.
Keseluruhan oke dech...👍",petunjuk arah ditambah pakai menyesatkan asik nyaman harga jajanan standar oke,tunjuk arah tambah pakai sesat asik nyaman harga jajan standar oke,"Petunjuk arah mohon ditambah, karena pake google maps agak menyesatkan.
Tempat nya asik & nyaman.
Harga jajanan juga standar.
Keseluruhan oke dech...👍",3,Nuril Mustofa,2024-01-11T04:00:10.740Z,Tanjung Laut,Jambi
"Cocok untung camping, kurang cocok untuk wisata keluarga bawa anak2 krna tidak ada tempat bermain anak dan kurang safety utk anak kecil.",cocok untung camping cocok wisata keluarga bawa anak bermain anak safety anak,cocok untung camping cocok wisata keluarga bawa anak main anak safety anak,"Cocok untung camping, kurang cocok untuk wisata keluarga bawa anak2 krna tidak ada tempat bermain anak dan kurang safety utk anak kecil.",4,Kiki Novita,2023-12-31T16:01:25.692Z,Tanjung Laut,Jambi
"Tempat bagus buat healing di daerah jambi. Aman, nyaman dan asri.",bagus healing daerah jambi aman nyaman asri,bagus healing daerah jambi aman nyaman asri,"Tempat bagus buat healing di daerah jambi. Aman, nyaman dan asri.",5,robi fikra,2023-11-23T09:57:34.011Z,Tanjung Laut,Jambi
Alhamdulillah dari jakarta tiba di jambi,alhamdulillah jakarta jambi,alhamdulillah jakarta jambi,Alhamdulillah dari jakarta tiba di jambi,4,Sulaeman Hasanudin,2023-11-20T12:38:39.000Z,Tanjung Laut,Jambi
"Beberapa tahun yang lalu camp disini bagus banget masih asri alamnya suasanya tenang sunyi.

Tapi skrang udah ga recomend lg sih buat camp udah ga nuansa alam, malah kayak cafe trus ada musik-musiknya ganggu banget brisik, kalo buat camp ga recomend lg",tahun camp bagus banget asri alamnya suasanya tenang sunyi recomend camp nuansa alam kayak cafe musik musiknya ganggu banget brisik kalo camp recomend,tahun camp bagus banget asri alam suasa tenang sunyi recomend camp nuansa alam kayak cafe musik musik ganggu banget brisik kalo camp recomend,"Beberapa tahun yang lalu camp disini bagus banget masih asri alamnya suasanya tenang sunyi.

Tapi skrang udah ga recomend lg sih buat camp udah ga nuansa alam, malah kayak cafe trus ada musik-musiknya ganggu banget brisik, kalo buat camp ga recomend lg",1,Ryu ID,2023-11-03T01:57:13.714Z,Tanjung Laut,Jambi
Mantap,mantap,mantap,Mantap,5,Bg Abdi,2023-09-24T15:10:31.054Z,Tanjung Laut,Jambi
Udah kering sekarang nyesel banget,kering menyesal banget,kering sesal banget,Udah kering sekarang nyesel banget,2,Agus Tinus,2023-09-10T08:59:37.054Z,Tanjung Laut,Jambi
"jelek banget, kaya danau buatan lo😡😡😡😡",jelek banget kayak danau buatan lo,jelek banget kayak danau buat lo,"jelek banget, kaya danau buatan lo😡😡😡😡",1,Caesar Islami alghazali,2023-09-02T06:41:25.764Z,Tanjung Laut,Jambi
Tempat wisata yang cukup bagus untuk daerah pemayung,wisata bagus daerah pemayung,wisata bagus daerah mayung,Tempat wisata yang cukup bagus untuk daerah pemayung,4,Mondris Yanto,2023-08-02T08:09:52.371Z,Tanjung Laut,Jambi
mantap lur..promo ya untuk para alumni pelatihan bumdes,mantap lur promo alumni pelatihan bumdes,mantap lur promo alumni latih bumdes,mantap lur..promo ya untuk para alumni pelatihan bumdes,5,Pemdes Muda,2023-07-27T05:02:06.395Z,Tanjung Laut,Jambi
Cocok untuk camp tempatnya Mash sejuk dan nyaman jauh dari keramaian kota dan polusi,cocok camp tempatnya mash sejuk nyaman keramaian kota polusi,cocok camp tempat mash sejuk nyaman ramai kota polusi,Cocok untuk camp tempatnya Mash sejuk dan nyaman jauh dari keramaian kota dan polusi,5,Guswanto Putraali,2023-06-07T00:58:40.018Z,Tanjung Laut,Jambi
Foto danau tangkap,foto danau tangkap,foto danau tangkap,Foto danau tangkap,4,Aby abyan,2023-06-02T00:51:59.300Z,Tanjung Laut,Jambi
bagus sklai..sejuk..sunyi..ap lg bersama kluarga,bagus sklai sejuk sunyi keluarga,bagus sklai sejuk sunyi keluarga,bagus sklai..sejuk..sunyi..ap lg bersama kluarga,4,Ameen Baee,2023-02-26T09:58:58.115Z,Tanjung Laut,Jambi
Tempatnya bersih dan asri...cuman jalan menuju kelolasi masih banyak yg rusak...,tempatnya bersih asri cuman jalan kelolasi rusak,tempat bersih asri cuman jalan kelolasi rusak,Tempatnya bersih dan asri...cuman jalan menuju kelolasi masih banyak yg rusak...,5,Didi Suwaryadi,2023-02-07T07:21:12.869Z,Tanjung Laut,Jambi
