review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Mantap,mantap,mantap,Mantap,5,Jeli Manogu Tua Tinambunan,2026-03-19T17:17:25.449Z,Tomok,Sumatera Utara
"Biaya terjangkau
Kapal fery 35k pulang pergi dan 1 jam di desa tomok
Tiket masuk 5k

Sayang tempat kurang dipelihara
Penduduk ramah

Sepanjang jalan kiri dan kanan banyak yang jualan
Jangan malu nawar tapi kalau beli di kios paling atas harganya paling murah",biaya terjangkau kapal fery kak pulang pergi jam desa tomok tiket kak sayang dipelihara penduduk ramah jalan kiri kanan jualan malu nawar beli kios harganya murah,biaya jangkau kapal fery kak pulang pergi jam desa tomok tiket kak sayang pelihara duduk ramah jalan kiri kanan jual malu nawar beli kios harga murah,"Biaya terjangkau
Kapal fery 35k pulang pergi dan 1 jam di desa tomok
Tiket masuk 5k

Sayang tempat kurang dipelihara
Penduduk ramah

Sepanjang jalan kiri dan kanan banyak yang jualan
Jangan malu nawar tapi kalau beli di kios paling atas harganya paling murah",4,Jujuh Sopian,2025-12-07T13:29:24.519Z,Tomok,Sumatera Utara
"Hy wisatawan/wisatawatiii. Kuylah ke Desa Tomok Parsaorannn. Transfortasi pastinya naik kapal ya, dengan tiket yang murah. Kalau ramai-ramai, 35k bisa nego. Sampai di sana, kita disuguhi pasar langsung dengan dagangan² khas Tomok.
@samosir
#Kabupatensamosir",wisatawan wisatawatiii kuylah desa tomok parsaorannn transfortasi pastinya kapal tiket murah ramai ramai kak nego disuguhi pasar dagangan khas tomok kabupatensamosir,wisatawan wisatawatiii kuylah desa tomok parsaorannn transfortasi pasti kapal tiket murah ramai ramai kak nego suguh pasar dagang khas tomok kabupatensamosir,"Hy wisatawan/wisatawatiii. Kuylah ke Desa Tomok Parsaorannn. Transfortasi pastinya naik kapal ya, dengan tiket yang murah. Kalau ramai-ramai, 35k bisa nego. Sampai di sana, kita disuguhi pasar langsung dengan dagangan² khas Tomok.
@samosir
#Kabupatensamosir",5,Nur Aisyah,2025-06-29T02:24:05.682Z,Tomok,Sumatera Utara
"Menarik bila ikut berpartisasi menari Sigalegale. Kalau tidak, tidak ada arti apa2.",menarik berpartisasi menari sigalegale,tarik berpartisasi tari sigalegale,"Menarik bila ikut berpartisasi menari Sigalegale. Kalau tidak, tidak ada arti apa2.",4,Hendri Hidayat,2025-06-27T09:15:43.218Z,Tomok,Sumatera Utara
"Lokasi berada di Pusat perbelanjaan. Minim petunjuk untuk rute perjalanan dan situs yang bisa dikunjungi. Rata-rata tiket masuk tidak ada rate, cukup memberi seikhlasnya.
Di sekitar sini ada museum batak, komplek makam, dan rumah adat. Bisa mencoba tari batak di sini.",lokasi pusat perbelanjaan minim petunjuk rute perjalanan situs dikunjungi rata rata tiket rate seikhlasnya museum batak komplek makam rumah adat mencoba tari batak,lokasi pusat belanja minim tunjuk rute jalan situs kunjung rata rata tiket rate ikhlas museum batak komplek makam rumah adat coba tari batak,"Lokasi berada di Pusat perbelanjaan. Minim petunjuk untuk rute perjalanan dan situs yang bisa dikunjungi. Rata-rata tiket masuk tidak ada rate, cukup memberi seikhlasnya.
Di sekitar sini ada museum batak, komplek makam, dan rumah adat. Bisa mencoba tari batak di sini.",4,S Hardiyanti,2025-05-29T08:21:01.743Z,Tomok,Sumatera Utara
"Bernuasa magis tp lebih kepada histori.
Menyenangkan dan tempat juga tertata walau sedikit sempit karena bagian jalan terisi jualan ole2 khas samosir",bernuasa magis histori menyenangkan tertata sempit jalan terisi jualan ole khas samosir,bernuasa magis histori senang tata sempit jalan isi jual ole khas samosir,"Bernuasa magis tp lebih kepada histori.
Menyenangkan dan tempat juga tertata walau sedikit sempit karena bagian jalan terisi jualan ole2 khas samosir",5,awal udin,2025-03-05T14:33:20.004Z,Tomok,Sumatera Utara
"Desa Wisata Tomok Parsaoran adalah sebuah objek wisata di Pulau Samosir yang lokasinya tidak terlalu jauh dari Pelabuhan Tomok. Di tempat ini, terdapat sejumlah toko yang menjual oleh-oleh mulai dari kain Batak, ornamen Batak, kerajinan tangan, kaos, pakaian, mainan, dan sebagainya. Untuk harga, pembeli perlu tawar menawar dengan penjual. Pembayaran hanya menggunakan uang tunai.

Di tengah-tengah Desa Wisata ini, ada pertunjukkan Sigale gale, kubur Raja Sidabutar, dan Museum Batak. Untuk masuk ke Desa Wisata Tomok Parsaoran, pengunjung tidak dikemakan biaya. Namun, untuk masuk ke pertunjukan dan museum, ada biaya masuk yang dikenakan.

Parkir kendaraan tersedia di dekat kawasan pasar. Di Desa Wisata ini, juga terdapat sejumlah warung, rumah makan, hingga cafe.",desa wisata tomok parsaoran objek wisata pulau samosir lokasinya pelabuhan tomok toko menjual kain batak ornamen batak kerajinan tangan kaos pakaian mainan harga pembeli tawar menawar penjual pembayaran uang tunai tengah tengah desa wisata pertunjukkan sigale gale kubur raja sidabutar museum batak desa wisata tomok parsaoran pengunjung dikemakan biaya pertunjukan museum biaya dikenakan parkir kendaraan tersedia kawasan pasar desa wisata warung rumah makan cafe,desa wisata tomok parsaoran objek wisata pulau samosir lokasi labuh tomok toko jual kain batak ornamen batak rajin tangan kaos pakai main harga beli tawar tawar jual bayar uang tunai tengah tengah desa wisata tunjuk sigale gale kubur raja sidabutar museum batak desa wisata tomok parsaoran unjung makan biaya tunjuk museum biaya kena parkir kendara sedia kawasan pasar desa wisata warung rumah makan cafe,"Desa Wisata Tomok Parsaoran adalah sebuah objek wisata di Pulau Samosir yang lokasinya tidak terlalu jauh dari Pelabuhan Tomok. Di tempat ini, terdapat sejumlah toko yang menjual oleh-oleh mulai dari kain Batak, ornamen Batak, kerajinan tangan, kaos, pakaian, mainan, dan sebagainya. Untuk harga, pembeli perlu tawar menawar dengan penjual. Pembayaran hanya menggunakan uang tunai.

Di tengah-tengah Desa Wisata ini, ada pertunjukkan Sigale gale, kubur Raja Sidabutar, dan Museum Batak. Untuk masuk ke Desa Wisata Tomok Parsaoran, pengunjung tidak dikemakan biaya. Namun, untuk masuk ke pertunjukan dan museum, ada biaya masuk yang dikenakan.

Parkir kendaraan tersedia di dekat kawasan pasar. Di Desa Wisata ini, juga terdapat sejumlah warung, rumah makan, hingga cafe.",3,Edwin Petrus,2025-01-07T10:30:27.293Z,Tomok,Sumatera Utara
Terdapat kegiatan kebudayaan Batak serta souvenir khas Samosir.,kegiatan kebudayaan batak souvenir khas samosir,giat budaya batak souvenir khas samosir,Terdapat kegiatan kebudayaan Batak serta souvenir khas Samosir.,5,Suhardin Djalal,2025-01-06T07:01:25.361Z,Tomok,Sumatera Utara
Berkunjung pada 2016,berkunjung,kunjung,Berkunjung pada 2016,5,Utha Rosalita,2024-12-20T15:46:27.644Z,Tomok,Sumatera Utara
"Pintu masuk kek samosir..

Ticket kapal kecil dari pelabuhan ajibata hanya 15.000",pintu kayak samosir ticket kapal pelabuhan ajibata,pintu kayak samosir ticket kapal labuh ajibata,"Pintu masuk kek samosir..

Ticket kapal kecil dari pelabuhan ajibata hanya 15.000",4,Jun Loi Bong,2024-10-27T02:51:11.011Z,Tomok,Sumatera Utara
